Hour,Det1 Saturday,Det2 Saturday,Det3 Saturday
0,114.0,142.0,69.5
1,56.0,93.5,38.5
2,30.5,58.0,21.5
3,29.5,27.5,20.5
4,47.0,46.5,26.5
5,67.5,63.0,37.0
6,154.5,114.0,73.0
7,207.0,214.5,152.0
8,363.0,382.5,283.5
9,570.5,580.5,442.5
10,637.0,657.0,456.0
11,682.0,634.0,491.0
12,677.0,676.5,504.0
13,678.0,756.0,507.0
14,688.5,749.5,461.0
15,599.0,626.0,406.5
16,512.5,630.5,355.5
17,482.0,587.5,332.0
18,339.0,489.5,301.5
19,349.5,433.5,265.0
20,346.0,415.5,253.5
21,263.5,361.5,172.5
22,227.5,294.0,154.0
23,174.5,267.0,121.0
