Hour,Avg Saturday (all det)
0,108.66666666666667
1,59.22222222222222
2,34.55555555555556
3,24.111111111111114
4,40.333333333333336
5,53.11111111111111
6,107.33333333333333
7,189.33333333333334
8,320.5555555555556
9,506.5555555555556
10,569.7777777777777
11,588.9999999999999
12,616.1111111111111
13,653.8888888888888
14,648.6666666666666
15,552.0000000000001
16,518.2222222222223
17,482.77777777777777
18,378.22222222222223
19,343.88888888888886
20,324.55555555555554
21,244.8888888888889
22,210.0
23,179.77777777777774
