Hour,Det1 Saturday,Det2 Saturday,Det3 Saturday
0,115.0,135.0,76.0
1,54.666666666666664,84.0,39.0
2,31.333333333333332,50.666666666666664,21.666666666666668
3,27.0,25.666666666666668,19.666666666666668
4,49.333333333333336,48.333333333333336,23.333333333333332
5,67.33333333333333,58.0,34.0
6,139.0,113.0,70.0
7,201.0,221.0,146.0
8,338.0,359.0,264.6666666666667
9,542.3333333333334,543.3333333333334,434.0
10,621.3333333333334,624.6666666666666,463.3333333333333
11,663.6666666666666,619.0,484.3333333333333
12,676.3333333333334,678.6666666666666,493.3333333333333
13,706.6666666666666,753.6666666666666,501.3333333333333
14,704.6666666666666,765.0,476.3333333333333
15,594.0,646.3333333333334,415.6666666666667
16,545.3333333333334,636.3333333333334,373.0
17,485.6666666666667,604.3333333333334,358.3333333333333
18,352.0,479.0,303.6666666666667
19,332.3333333333333,423.3333333333333,276.0
20,332.3333333333333,393.6666666666667,247.66666666666666
21,242.33333333333334,325.0,167.33333333333334
22,220.0,268.0,142.0
23,170.0,249.66666666666666,119.66666666666667
