run_id,sim_time,event_type,actor_type,actor_id,u,v,segment_id,occupancy,rho_max,length_m
20260610_175521_48753422,66299.03013031813,enter,car,33,46354890,46359275,46354890->46359275,1.8240255752589003,46.670475058911165,175.01428147091687
20260610_175521_48753422,66307.04732660629,exit,car,33,46354890,46359275,46354890->46359275,0.8240255752589004,46.670475058911165,175.01428147091687
20260610_175521_48753422,66307.04732660629,enter,car,33,46359275,46365929,46359275->46365929,1.9919612271862794,28.090937407045082,210.6820305528381
20260610_175521_48753422,66316.87505980993,exit,car,33,46359275,46365929,46359275->46365929,0.9919612271862795,28.090937407045082,210.6820305528381
20260610_175521_48753422,66316.87505980993,enter,car,33,46365929,46366196,46365929->46366196,1.0543209490725556,1.5382923631166157,11.537192723374618
20260610_175521_48753422,66317.41323789615,exit,car,33,46365929,46366196,46365929->46366196,0.054320949072555504,1.5382923631166157,11.537192723374618
20260610_175521_48753422,66317.41323789615,enter,car,33,46366196,2384634607,46366196->2384634607,1.0807322754814828,2.286223730449071,17.146677978368032
20260610_175521_48753422,66318.21308293304,exit,car,33,46366196,2384634607,46366196->2384634607,0.08073227548148283,2.286223730449071,17.146677978368032
20260610_175521_48753422,66318.21308293304,enter,car,33,2384634607,46367537,2384634607->46367537,1.0819655814061444,2.32114920796161,17.408619059712073
20260610_175521_48753422,66319.02514679589,exit,car,33,2384634607,46367537,2384634607->46367537,0.08196558140614435,2.32114920796161,17.408619059712073
20260610_175521_48753422,66319.02514679589,enter,car,33,46367537,5155698570,46367537->5155698570,1.0835999621497283,2.3674325564524836,17.755744173393627
20260610_175521_48753422,66319.85340308386,exit,car,33,46367537,5155698570,46367537->5155698570,0.08359996214972834,2.3674325564524836,17.755744173393627
20260610_175521_48753422,66319.85340308386,enter,car,33,5155698570,2384634611,5155698570->2384634611,1.0639488204220677,1.8109400473505892,13.58205035512942
20260610_175521_48753422,66320.486968115,exit,car,33,5155698570,2384634611,5155698570->2384634611,0.0639488204220677,1.8109400473505892,13.58205035512942
20260610_175521_48753422,66320.486968115,enter,car,33,2384634611,46370980,2384634611->46370980,1.4966487465350662,14.06438928240895,105.48291961806713
20260610_175521_48753422,66324.65020758477,enter,car,36,3611512307,46444413,3611512307->46444413,4.598763404305416,203.82376803145715,764.3391301179643
20260610_175521_48753422,66325.40745416132,exit,car,33,2384634611,46370980,2384634611->46370980,0.49664874653506613,14.06438928240895,105.48291961806713
20260610_175521_48753422,66325.40745416132,enter,car,33,46370980,13295721652,46370980->13295721652,2.9088748670634796,108.11326680713513,405.4247505267567
20260610_175521_48753422,66343.97948027102,exit,car,33,46370980,13295721652,46370980->13295721652,1.9088748670634799,108.11326680713513,405.4247505267567
20260610_175521_48753422,66343.97948027102,enter,car,33,13295721652,46391963,13295721652->46391963,1.2579643004732899,13.697219494156984,102.72914620617738
20260610_175521_48753422,66346.71152301542,enter,car,37,46354890,46359275,46354890->46359275,1.8240255752589003,46.670475058911165,175.01428147091687
20260610_175521_48753422,66354.72871930357,exit,car,37,46354890,46359275,46354890->46359275,0.8240255752589004,46.670475058911165,175.01428147091687
20260610_175521_48753422,66354.72871930357,enter,car,37,46359275,46365929,46359275->46365929,1.9919612271862794,28.090937407045082,210.6820305528381
20260610_175521_48753422,66356.54360211041,exit,car,33,13295721652,46391963,13295721652->46391963,0.25796430047328983,13.697219494156984,102.72914620617738
20260610_175521_48753422,66356.54360211041,enter,car,33,46391963,46409450,46391963->46409450,1.8748659877049088,154.84353764688646,580.6632661758242
20260610_175521_48753422,66359.66367497366,exit,car,36,3611512307,46444413,3611512307->46444413,3.5987634043054157,203.82376803145715,764.3391301179643
20260610_175521_48753422,66359.66367497366,enter,car,36,46444413,46446877,46444413->46446877,1.9682897080280757,27.420593501680013,205.6544512626001
20260610_175521_48753422,66364.55645250721,exit,car,37,46359275,46365929,46359275->46365929,0.9919612271862795,28.090937407045082,210.6820305528381
20260610_175521_48753422,66364.55645250721,enter,car,37,46365929,46366196,46365929->46366196,1.0543209490725556,1.5382923631166157,11.537192723374618
20260610_175521_48753422,66365.09463059343,exit,car,37,46365929,46366196,46365929->46366196,0.054320949072555504,1.5382923631166157,11.537192723374618
20260610_175521_48753422,66365.09463059343,enter,car,37,46366196,2384634607,46366196->2384634607,1.0807322754814828,2.286223730449071,17.146677978368032
20260610_175521_48753422,66365.89447563032,exit,car,37,46366196,2384634607,46366196->2384634607,0.08073227548148283,2.286223730449071,17.146677978368032
20260610_175521_48753422,66365.89447563032,enter,car,37,2384634607,46367537,2384634607->46367537,1.0819655814061444,2.32114920796161,17.408619059712073
20260610_175521_48753422,66366.70653949317,exit,car,37,2384634607,46367537,2384634607->46367537,0.08196558140614435,2.32114920796161,17.408619059712073
20260610_175521_48753422,66366.70653949317,enter,car,37,46367537,5155698570,46367537->5155698570,1.0835999621497283,2.3674325564524836,17.755744173393627
20260610_175521_48753422,66367.53479578115,exit,car,37,46367537,5155698570,46367537->5155698570,0.08359996214972834,2.3674325564524836,17.755744173393627
20260610_175521_48753422,66367.53479578115,enter,car,37,5155698570,2384634611,5155698570->2384634611,1.0639488204220677,1.8109400473505892,13.58205035512942
20260610_175521_48753422,66368.16836081228,exit,car,37,5155698570,2384634611,5155698570->2384634611,0.0639488204220677,1.8109400473505892,13.58205035512942
20260610_175521_48753422,66368.16836081228,enter,car,37,2384634611,46370980,2384634611->46370980,1.4966487465350662,14.06438928240895,105.48291961806713
20260610_175521_48753422,66369.25688552819,exit,car,36,46444413,46446877,46444413->46446877,0.9682897080280756,27.420593501680013,205.6544512626001
20260610_175521_48753422,66369.25688552819,enter,car,36,46446877,46446638,46446877->46446638,1.0085194978776013,1.2063005844391212,9.04725438329341
20260610_175521_48753422,66369.66690775743,exit,car,36,46446877,46446638,46446877->46446638,0.008519497877601296,1.2063005844391212,9.04725438329341
20260610_175521_48753422,66369.66690775743,enter,car,36,46446638,2382668247,46446638->2382668247,1.608138078654049,64.58103490131492,242.17888087993094
20260610_175521_48753422,66373.0888468586,exit,car,37,2384634611,46370980,2384634611->46370980,0.49664874653506613,14.06438928240895,105.48291961806713
20260610_175521_48753422,66373.0888468586,enter,car,37,46370980,13295721652,46370980->13295721652,2.9088748670634796,108.11326680713513,405.4247505267567
20260610_175521_48753422,66387.30288459701,enter,car,39,46354890,46359275,46354890->46359275,1.8240255752589003,46.670475058911165,175.01428147091687
20260610_175521_48753422,66391.6608729683,exit,car,37,46370980,13295721652,46370980->13295721652,1.9088748670634799,108.11326680713513,405.4247505267567
20260610_175521_48753422,66391.6608729683,enter,car,37,13295721652,46391963,13295721652->46391963,1.2579643004732899,13.697219494156984,102.72914620617738
20260610_175521_48753422,66395.32008088517,exit,car,39,46354890,46359275,46354890->46359275,0.8240255752589004,46.670475058911165,175.01428147091687
20260610_175521_48753422,66395.32008088517,enter,car,39,46359275,46365929,46359275->46365929,1.9919612271862794,28.090937407045082,210.6820305528381
20260610_175521_48753422,66398.5889132832,exit,car,33,46391963,46409450,46391963->46409450,0.8748659877049086,154.84353764688646,580.6632661758242
20260610_175521_48753422,66398.5889132832,enter,car,33,46409450,46445656,46409450->46445656,3.2889946972880693,121.53954144892403,911.5465608669302
20260610_175521_48753422,66399.00463708083,exit,car,36,46446638,2382668247,46446638->2382668247,0.6081380786540489,64.58103490131492,242.17888087993094
20260610_175521_48753422,66399.00463708083,enter,car,36,2382668247,2382668232,2382668247->2382668232,1.079332235948486,7.0205518538483265,52.654138903862446
20260610_175521_48753422,66401.91607671625,enter,car,40,46354890,46359275,46354890->46359275,1.8240255752589003,46.670475058911165,175.01428147091687
20260610_175521_48753422,66402.8390641073,exit,car,36,2382668247,2382668232,2382668247->2382668232,0.0793322359484861,7.0205518538483265,52.654138903862446
20260610_175521_48753422,66402.8390641073,enter,car,36,2382668232,2382668227,2382668232->2382668227,1.0120212961601218,1.063831518594856,7.97873638946142
20260610_175521_48753422,66403.21694046879,enter,car,35,46493064,46467133,46493064->46467133,5.634986072056663,262.51248549701455,984.4218206138046
20260610_175521_48753422,66403.4200988196,exit,car,36,2382668232,2382668227,2382668232->2382668227,0.012021296160121875,1.063831518594856,7.97873638946142
20260610_175521_48753422,66403.4200988196,enter,car,36,2382668227,2382668192,2382668227->2382668192,1.0900073167537072,7.965249270239583,59.73936952679687
20260610_175521_48753422,66404.2249948077,exit,car,37,13295721652,46391963,13295721652->46391963,0.25796430047328983,13.697219494156984,102.72914620617738
20260610_175521_48753422,66404.2249948077,enter,car,37,46391963,46409450,46391963->46409450,1.8748659877049088,154.84353764688646,580.6632661758242
